game,opponent,layer,grad_norm,input_sensitivity
hawk-dove,0.5,opponent_reward_embed.2.bias,1.867493847385049e-05,1.837029003581847e-06
hawk-dove,0.5,lstm.weight_ih_l0,0.00043593617738224566,1.837029003581847e-06
hawk-dove,0.5,lstm.weight_hh_l0,0.0002750998828560114,1.837029003581847e-06
hawk-dove,0.5,lstm.bias_ih_l0,3.824071609415114e-05,1.837029003581847e-06
hawk-dove,0.5,lstm.bias_hh_l0,3.824071609415114e-05,1.837029003581847e-06
hawk-dove,0.5,lstm.weight_ih_l1,0.0015535366255789995,1.837029003581847e-06
hawk-dove,0.5,lstm.weight_hh_l1,0.0013005748623982072,1.837029003581847e-06
hawk-dove,0.5,lstm.bias_ih_l1,0.00020199595019221306,1.837029003581847e-06
hawk-dove,0.5,lstm.bias_hh_l1,0.00020199595019221306,1.837029003581847e-06
hawk-dove,0.5,policy_head.0.weight,0.0035420784261077642,1.837029003581847e-06
hawk-dove,0.5,policy_head.0.bias,0.0005364759708754718,1.837029003581847e-06
